learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),number of subtrees,tree size (nodes),tree size (leaves),number of option nodes
51000.0,2.5625,9.925744961947204E-7,1000.0,0.6535406146054756,0.8403289300895911,51000.0,1857008.0
52000.0,2.625,1.0291881497121522E-6,1000.0,0.6139193647929284,0.7778541556738201,52000.0,2264464.0
53000.0,2.6875,1.0654557910230427E-6,1000.0,0.648632870596461,0.8714082342569729,53000.0,2243064.0
54000.0,2.765625,1.1188684341808162E-6,1000.0,0.6424015402388904,0.8433958514161101,54000.0,2642752.0
55000.0,2.84375,1.1683958776605628E-6,1000.0,0.6464044541908579,0.847093959179647,55000.0,2450520.0
56000.0,2.921875,1.225919275182403E-6,1000.0,0.6711430719622257,0.8960008494040587,56000.0,2846144.0
57000.0,3.0,1.2898830270084245E-6,1000.0,0.5858962084904035,0.7731970550836045,57000.0,3164800.0
58000.0,3.125,1.4022807267287542E-6,1000.0,0.5654288043604448,0.723811043518495,58000.0,3475760.0
59000.0,3.234375,1.497657924321377E-6,1000.0,0.6097683957372226,0.809057635811815,59000.0,3370768.0
60000.0,3.34375,1.6041577004620602E-6,1000.0,0.5853344719443456,0.7613216583484156,60000.0,3763856.0
61000.0,3.46875,1.7226364191931986E-6,1000.0,0.6084815278781952,0.8073410728024573,61000.0,3663808.0
62000.0,3.59375,1.8538426957093182E-6,1000.0,0.629228131899934,0.8201380114206648,62000.0,4057168.0
63000.0,3.71875,2.0011577483577038E-6,1000.0,0.5431215894943817,0.7110862498799965,63000.0,4555536.0
64000.0,3.84375,2.155677357222885E-6,1000.0,0.5543988618533658,0.7256913984794853,64000.0,4778328.0
65000.0,3.953125,2.305136327373071E-6,1000.0,0.5639797011397091,0.7455625169612322,65000.0,5282096.0
66000.0,4.09375,2.4907029324418143E-6,1000.0,0.543580536723894,0.701003757009118,66000.0,5100816.0
67000.0,4.25,2.6969342919376993E-6,1000.0,0.5796636312840839,0.7513248820701802,67000.0,5101960.0
68000.0,4.390625,2.882094898571571E-6,1000.0,0.6268155190586884,0.8659937871353407,68000.0,5089656.0
69000.0,4.546875,3.091388951159186E-6,1000.0,0.6895266719267961,0.9241851157143219,69000.0,5177728.0
70000.0,4.703125,3.3117068879720238E-6,1000.0,0.6927572307342087,0.9650186289801168,70000.0,5450448.0
